Target,Model,AUC,AUC_ROC,BEDROC,EF0.1,EF0.5,EF1,EF5,NEF0.1,NEF0.5,NEF1,NEF5,Source,Notes
parp-1,RTMScore/GlideSP,,0.969,1.003,,,,,,30.15,30.15,17.299,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
pde4b,RTMScore/GlideSP,,0.838,0.373,,,,,,17.978,12.101,6.597,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
pde5,RTMScore/GlideSP,,0.76,0.507,,,,,,27.632,17.358,7.279,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
pdk1,RTMScore/GlideSP,,0.971,0.983,,,,,,31.553,31.553,17.354,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
pi3kg,RTMScore/GlideSP,,0.922,0.839,,,,,,30.744,30.744,12.81,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
pim-1,RTMScore/GlideSP,,0.932,0.59,,,,,,13.22,16.609,12.642,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
pim-2,RTMScore/GlideSP,,0.903,0.378,,,,,,8.821,11.874,10.122,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
pnp,RTMScore/GlideSP,,0.732,0.786,,,,,,30.725,30.725,8.92,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
ppara,RTMScore/GlideSP,,0.703,0.664,,,,,,28.974,21.731,8.641,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
pparg,RTMScore/GlideSP,,0.72,0.279,,,,,,9.442,7.081,4.472,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
pr,RTMScore/GlideSP,,0.675,0.215,,,,,,9.743,7.971,2.81,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
prkcq,RTMScore/GlideSP,,0.87,0.401,,,,,,10.474,10.474,10.997,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
pygl-in,RTMScore/GlideSP,,0.911,0.955,,,,,,30.8,30.8,15.4,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
pygl-out,RTMScore/GlideSP,,0.739,0.428,,,,,,17.614,14.227,6.96,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
qpct,RTMScore/GlideSP,,0.84,0.968,,,,,,31,31,15,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
rock-1,RTMScore/GlideSP,,0.751,0.507,,,,,,22.051,16.623,7.591,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
rxr,RTMScore/GlideSP,,0.989,1.063,,,,,,24.789,24.789,18.076,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
sars-hcov,RTMScore/GlideSP,,0.614,0.109,,,,,,4.399,4.738,2.019,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
sirt2,RTMScore/GlideSP,,0.52,0.006,,,,,,0,0,0.999,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
src,RTMScore/GlideSP,,0.68,0.643,,,,,,26.659,23.925,8.158,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
thrombin,RTMScore/GlideSP,,0.94,0.932,,,,,,31.737,29.296,16.129,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
tie2,RTMScore/GlideSP,,0.607,0.609,,,,,,30.615,25.513,6.123,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
tk,RTMScore/GlideSP,,0.742,0.804,,,,,,26.421,26.083,11.932,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
tp,RTMScore/GlideSP,,0.711,0.645,,,,,,26.12,22.795,7.375,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
tpa,RTMScore/GlideSP,,0.896,0.983,,,,,,30.579,30.579,15.03,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
ts,RTMScore/GlideSP,,0.66,0.325,,,,,,17.343,9.338,4.975,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
upa,RTMScore/GlideSP,,0.743,0.842,,,,,,29.875,29.875,9.958,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
vegfr1,RTMScore/GlideSP,,0.694,0.538,,,,,,19.842,22.322,8.355,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
vegfr2,RTMScore/GlideSP,,0.858,0.598,,,,,,22.876,27.099,7.35,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
11betahsd1,Surflex,,0.737,0.215,,,,,,4.43,9.54,4.5,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
17betahsd1,Surflex,,0.483,0.053,,,,,,4.43,2.38,1,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
a2a,Surflex,,0.69,0.378,,,,,,17.71,16.69,4,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
ace,Surflex,,0.704,0.243,,,,,,4.43,9.54,5.5,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
ace2,Surflex,,0.757,0.187,,,,,,4.43,4.77,4,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
ache,Surflex,,0.655,0.186,,,,,,0,2.38,6,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
adam17,Surflex,,0.766,0.251,,,,,,13.29,7.15,5,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
adrb2,Surflex,,0.863,0.301,,,,,,8.86,11.92,5,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
akt1,Surflex,,0.679,0.358,,,,,,17.71,11.92,5.5,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
alr2,Surflex,,0.605,0.112,,,,,,4.43,2.38,3.5,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
ar,Surflex,,0.716,0.172,,,,,,4.43,4.77,4.5,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
aurka,Surflex,,0.75,0.108,,,,,,4.43,2.38,3.5,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
aurkb,Surflex,,0.696,0.166,,,,,,4.43,2.38,3.5,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
bcl2,Surflex,,0.53,0.076,,,,,,0,2.38,1.5,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
braf,Surflex,,0.626,0.033,,,,,,0,0,1,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
catl,Surflex,,0.717,0.058,,,,,,4.43,2.38,2,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
cdk2,Surflex,,0.659,0.179,,,,,,8.86,4.77,4,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
cox1,Surflex,,0.717,0.281,,,,,,8.84,11.89,5.99,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
cox2,Surflex,,0.88,0.18,,,,,,4.43,2.38,6,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
ctsk,Surflex,,0.725,0.136,,,,,,4.43,4.77,2.5,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
cyp2a6,Surflex,,0.637,0.001,,,,,,0,0,0,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
dhfr,Surflex,,0.665,0.234,,,,,,8.86,7.15,4.5,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
egfr,Surflex,,0.578,0.121,,,,,,4.43,4.77,2,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
ephb4,Surflex,,0.69,0.192,,,,,,8.86,7.15,3,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
erbb2,Surflex,,0.87,0.674,,,,,,26.57,21.46,11.5,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
er-beta,Surflex,,0.7,0.317,,,,,,8.86,9.54,6,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
fgfr1,Surflex,,0.73,0.137,,,,,,4.43,4.77,3.5,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
fkbp1a,Surflex,,0.685,0.152,,,,,,4.43,4.77,3,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
fxa,Surflex,,0.871,0.571,,,,,,26.57,19.08,8.5,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
gba,Surflex,,0.537,0.213,,,,,,13.29,7.15,3,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
gr,Surflex,,0.578,0.028,,,,,,0,0,1.5,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
gsk3b,Surflex,,0.621,0.218,,,,,,8.86,9.54,2.5,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
hdac2,Surflex,,0.766,0.417,,,,,,17.71,16.69,5.5,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
hdac8,Surflex,,0.572,0.145,,,,,,4.43,7.15,2,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
hiv1pr,Surflex,,0.823,0.242,,,,,,4.43,4.77,6.5,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
hiv1rt,Surflex,,0.572,0.039,,,,,,0,0,1,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
hmgr,Surflex,,0.99,1.044,,,,,,31,31,19,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
hsp90,Surflex,,0.614,0.032,,,,,,0,0,1.5,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
igf1r,Surflex,,0.586,0.021,,,,,,0,0,0.5,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
inha,Surflex,,0.607,0.246,,,,,,13.29,9.54,4.5,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
itk,Surflex,,0.484,0.045,,,,,,0,0,1,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
jak3,Surflex,,0.726,0.115,,,,,,4.43,4.77,2.5,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
jnk1,Surflex,,0.521,0.073,,,,,,4.43,2.38,0.5,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
jnk2,Surflex,,0.583,0.306,,,,,,17.71,11.92,2.5,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
jnk3,Surflex,,0.628,0.074,,,,,,0,2.38,1.5,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
kif11,Surflex,,0.799,0.219,,,,,,8.86,9.54,3,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
lck,Surflex,,0.694,0.274,,,,,,8.86,7.15,4.5,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
mdm2,Surflex,,0.489,0.051,,,,,,0,2.38,2,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
mk2,Surflex,,0.639,0.01,,,,,,0,0,1.5,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
mmp2,Surflex,,0.554,0.166,,,,,,8.86,7.15,2.5,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
na,Surflex,,0.794,0.293,,,,,,13.29,9.54,4.5,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
p38-alpha,Surflex,,0.606,0.119,,,,,,4.43,4.77,1,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
parp-1,Surflex,,0.768,0.436,,,,,,13.29,14.31,7,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
pde4b,Surflex,,0.651,0.077,,,,,,0,2.38,1,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
pde5,Surflex,,0.675,0.1,,,,,,4.43,2.38,2,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
pdk1,Surflex,,0.725,0.339,,,,,,17.71,11.92,4.5,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
pi3kg,Surflex,,0.725,0.166,,,,,,8.86,4.77,3.5,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
pim-1,Surflex,,0.609,0.248,,,,,,13.29,9.54,4,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
pim-2,Surflex,,0.585,0.118,,,,,,0,4.77,3,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
pnp,Surflex,,0.718,0.522,,,,,,22.14,19.08,7,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
ppara,Surflex,,0.78,0.219,,,,,,13.29,7.15,4,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
pparg,Surflex,,0.673,0.331,,,,,,13.29,9.54,5,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
pr,Surflex,,0.58,0.116,,,,,,0,4.77,3.5,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
prkcq,Surflex,,0.725,0.191,,,,,,4.43,4.77,4.5,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
pygl-in,Surflex,,0.691,0.05,,,,,,0,0,3,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
pygl-out,Surflex,,0.792,0.472,,,,,,22.14,16.69,7.5,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
qpct,Surflex,,0.421,0,,,,,,0,0,0,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
rock-1,Surflex,,0.629,0.122,,,,,,4.43,2.38,3,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
rxr,Surflex,,0.952,0.875,,,,,,31,31,15.5,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
sars-hcov,Surflex,,0.439,0.001,,,,,,0,0,0,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
sirt2,Surflex,,0.524,0.082,,,,,,4.43,2.38,2,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
src,Surflex,,0.586,0.226,,,,,,13.29,7.15,3,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
thrombin,Surflex,,0.81,0.465,,,,,,13.29,14.31,8,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
tie2,Surflex,,0.645,0.298,,,,,,13.29,9.54,4.5,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
tk,Surflex,,0.781,0.614,,,,,,31,23.85,8,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
tp,Surflex,,0.511,0.024,,,,,,0,0,1,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
tpa,Surflex,,0.768,0.257,,,,,,8.86,7.15,5,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
ts,Surflex,,0.666,0.177,,,,,,4.43,7.15,4.5,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
upa,Surflex,,0.683,0.564,,,,,,26.57,19.08,9.5,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
vegfr1,Surflex,,0.659,0.187,,,,,,8.86,7.15,3.5,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
vegfr2,Surflex,,0.557,0.1,,,,,,4.43,4.77,2,https://pubs.acs.org/doi/10.1021/acs.jmedchem.2c00991,Uses non-normalized EF
11betahsd1,TankBind,,0.338598418,0.002484784,,,,,,0,0,0.507758621,,
17betahsd1,TankBind,,0.584856782,0.099451633,,,,,,5.1125,2.55625,2.01147541,,
a2a,TankBind,,0.514204545,0.106456825,,,,,,5.116666667,2.558333333,1.509836066,,
ace,TankBind,,0.905585774,0.395035657,,,,,,10.29166667,12.86458333,9.110655738,,
ace2,TankBind,,0.266075897,1.01E-16,,,,,,0,0,0,,
ache,TankBind,,0.773793395,0.09979372,,,,,,0,2.54375,5.004098361,,
adam17,TankBind,,0.882226891,0.710945324,,,,,,25.625,20.5,12.09836066,,
adrb2,TankBind,,0.486543654,0.063389138,,,,,,0,0,2.524122807,,
akt1,TankBind,,0.755358705,0.223721873,,,,,,0,8.065909091,5.012711864,,
alr2,TankBind,,0.45368887,0.007609713,,,,,,0,0,0.502459016,,
ar,TankBind,,0.615480132,0.081229825,,,,,,0,0,1.509375,,
aurka,TankBind,,0.488215201,0.074154331,,,,,,5.045833333,2.522916667,0.504583333,,
aurkb,TankBind,,0.778042553,0.189353182,,,,,,5.0625,7.59375,3.54375,,
bcl2,TankBind,,0.68691885,0.077797762,,,,,,0,2.547916667,4.009836066,,
braf,TankBind,,0.888717949,0.27245409,,,,,,5.041666667,7.5625,6.05,,
catl,TankBind,,0.222024308,1.26E-06,,,,,,0,0,0,,
cdk2,TankBind,,0.581163495,0.030019019,,,,,,0,0,1.013559322,,
cox1,TankBind,,0.720212766,0.162246052,,,,,,0,2.547727273,4.504017857,,
cox2,TankBind,,0.687408313,0.0819487,,,,,,0,2.68125,1.021428571,,
ctsk,TankBind,,0.682761506,0.006262217,,,,,,0,0,1.012295082,,
cyp2a6,TankBind,,0.593945539,0.119015708,,,,,,0,2.508333333,3.511666667,,
dhfr,TankBind,,0.498785895,0.09104716,,,,,,5.1,2.55,1.504918033,,
egfr,TankBind,,0.606174957,0.081692399,,,,,,0,2.5125,1.5075,,
ephb4,TankBind,,0.619165247,0.003028986,,,,,,0,0,0.505833333,,
erbb2,TankBind,,0.810161713,0.227907521,,,,,,11.84,8.072727273,4.013559322,,
er-beta,TankBind,,0.76190625,0.576277665,,,,,,15.75,13.125,5.5,,
fgfr1,TankBind,,0.573946444,0.0478282,,,,,,0,0,2.032758621,,
fkbp1a,TankBind,,0.705155071,0.179661834,,,,,,10.275,7.70625,2.526639344,,
fxa,TankBind,,0.715944541,0.158887792,,,,,,5.97,2.713636364,3.541525424,,
gba,TankBind,,0.592740586,0.031596265,,,,,,0,0,0.506147541,,
gr,TankBind,,0.694611158,0.006527165,,,,,,0,0,0.501229508,,
gsk3b,TankBind,,0.685977702,0.00156582,,,,,,0,0,0,,
hdac2,TankBind,,0.583666951,0.017457223,,,,,,0,0,1.5175,,
hdac8,TankBind,,0.415368509,0.004025425,,,,,,0,0,0.505737705,,
hiv1pr,TankBind,,0.834075488,0.340128289,,,,,,0,7.61875,8.126666667,,
hiv1rt,TankBind,,0.436980492,6.77E-05,,,,,,0,0,0,,
hmgr,TankBind,,0.923391813,0.484042019,,,,,,5.154166667,10.30833333,13.68811475,,
hsp90,TankBind,,0.61931431,0.007842325,,,,,,0,0,0.505833333,,
igf1r,TankBind,,0.753161175,0.113864432,,,,,,0,2.643181818,5.012931034,,
inha,TankBind,,0.273080169,1.05E-12,,,,,,0,0,0,,
itk,TankBind,,0.655496604,0.053128082,,,,,,0,2.5375,1.015,,
jak3,TankBind,,0.64124892,0.028333897,,,,,,0,0,1.521610169,,
jnk1,TankBind,,0.6391717,0.003913163,,,,,,0,0,0.508050847,,
jnk2,TankBind,,0.508038869,0.000439264,,,,,,0,0,0,,
jnk3,TankBind,,0.583504274,0.077187944,,,,,,0,2.520833333,1.5125,,
kif11,TankBind,,0.668498717,0.144073118,,,,,,5.0375,5.0375,2.51875,,
lck,TankBind,,0.597293814,0.005418366,,,,,,0,0,0.501666667,,
mdm2,TankBind,,0.595185665,0.002189137,,,,,,0,0,0.507627119,,
mk2,TankBind,,0.816792369,0.298184516,,,,,,17.505,7.956818182,5.533189655,,
mmp2,TankBind,,0.915488215,0.682475407,,,,,,20.46666667,23.025,13.58852459,,
na,TankBind,,0.27881568,7.78E-09,,,,,,0,0,0,,
p38-alpha,TankBind,,0.818506768,0.204984877,,,,,,10.18333333,7.6375,3.505737705,,
parp-1,TankBind,,0.713519313,0.119008385,,,,,,0,5.020833333,2.510416667,,
pde4b,TankBind,,0.470826342,0.013435755,,,,,,0,0,0.504918033,,
pde5,TankBind,,0.69665404,0.119150579,,,,,,5.116666667,5.116666667,2.013114754,,
pdk1,TankBind,,0.850299658,0.298676073,,,,,,5.033333333,5.033333333,6.04,,
pi3kg,TankBind,,0.452796755,0.118035604,,,,,,0,5.045833333,2.018333333,,
pim-1,TankBind,,0.445936698,1.69E-05,,,,,,0,0,0,,
pim-2,TankBind,,0.480410607,0.035948766,,,,,,0,0,1.0075,,
pnp,TankBind,,0.301529757,0.002744552,,,,,,0,0,0.505327869,,
ppara,TankBind,,0.170977273,6.69E-10,,,,,,0,0,0,,
pparg,TankBind,,0.437409091,0.003494714,,,,,,0,0,0.5,,
pr,TankBind,,0.783375252,0.349306914,,,,,,15.51,10.34,4.054901961,,
prkcq,TankBind,,0.704152324,0.055519294,,,,,,0,2.504166667,1.5025,,
pygl-in,TankBind,,0.516002517,0.037983398,,,,,,0,2.566666667,0.504918033,,
pygl-out,TankBind,,0.505037625,0.000592826,,,,,,0,0,0,,
qpct,TankBind,,0.649770451,0.011492081,,,,,,0,0,1.014754098,,
rock-1,TankBind,,0.401670951,0.006283816,,,,,,0,0,0.502916667,,
rxr,TankBind,,0.794414317,0.259181934,,,,,,12.025,5.344444444,5.010416667,,
sars-hcov,TankBind,,0.436426571,4.99E-06,,,,,,0,0,0,,
sirt2,TankBind,,0.457895851,0.000215946,,,,,,0,0,0,,
src,TankBind,,0.513993174,0.018738945,,,,,,0,0,2.02,,
thrombin,TankBind,,0.562936914,0.053693154,,,,,,0,0,1.51625,,
tie2,TankBind,,0.792148404,0.258236525,,,,,,17.985,8.175,5.080508475,,
tk,TankBind,,0.513702929,2.62E-05,,,,,,0,0,0,,
tp,TankBind,,0.476621074,0.024901166,,,,,,0,0,0.503431373,,
tpa,TankBind,,0.43069902,0.006822614,,,,,,0,0,0.501293103,,
ts,TankBind,,0.656716102,0.152842018,,,,,,5.083333333,2.541666667,4,,
upa,TankBind,,0.671237024,0.05198997,,,,,,0,0,2.533898305,,
vegfr1,TankBind,,0.492477273,0.001869697,,,,,,0,0,0,,
vegfr2,TankBind,,0.504720576,0.004758406,,,,,,0,0,0.500409836,,
11betahsd1,TranformerCPI,,0.387390158,0.01724858,,,,,,0,0,1.015517241,,
17betahsd1,TranformerCPI,,0.405497051,8.36E-05,,,,,,0,0,0,,
a2a,TranformerCPI,,0.322348485,0.001211662,,,,,,0,0,0,,
ace,TranformerCPI,,0.322029289,1.10E-05,,,,,,0,0,0,,
ace2,TranformerCPI,,0.508069224,0.000391916,,,,,,0,0,0,,
ache,TranformerCPI,,0.459017782,6.57E-05,,,,,,0,0,0,,
adam17,TranformerCPI,,0.582142857,0.000186619,,,,,,0,0,0,,
adrb2,TranformerCPI,,0.544149415,0.039871783,,,,,,0,0,1.514473684,,
akt1,TranformerCPI,,0.784055118,0.283655715,,,,,,11.83,8.065909091,5.513983051,,
alr2,TranformerCPI,,0.539418212,0.152949503,,,,,,5.108333333,2.554166667,3.014754098,,
ar,TranformerCPI,,0.783567881,0.333231921,,,,,,10.73333333,5.366666667,3.01875,,
aurka,TranformerCPI,,0.510567891,0.036366839,,,,,,0,2.522916667,0.504583333,,
aurkb,TranformerCPI,,0.67193617,0.170157416,,,,,,5.0625,5.0625,4.55625,,
bcl2,TranformerCPI,,0.646682164,0.004835443,,,,,,0,0,1.002459016,,
braf,TranformerCPI,,0.69008547,0.142529246,,,,,,5.041666667,5.041666667,2.520833333,,
catl,TranformerCPI,,0.597485331,0.174274553,,,,,,5.1375,5.1375,3.537295082,,
cdk2,TranformerCPI,,0.521626298,0.155208019,,,,,,0,8.154545455,2.027118644,,
cox1,TranformerCPI,,0.560753932,0.044297817,,,,,,0,0,1.501339286,,
cox2,TranformerCPI,,0.65650978,0.053476524,,,,,,0,0,2.042857143,,
ctsk,TranformerCPI,,0.43460251,1.20E-14,,,,,,0,0,0,,
cyp2a6,TranformerCPI,,0.355214368,0.025204775,,,,,,0,0,0.501666667,,
dhfr,TranformerCPI,,0.515054899,0.059118666,,,,,,0,2.55,2.006557377,,
egfr,TranformerCPI,,0.745454545,0.202269973,,,,,,10.05,5.025,5.025,,
ephb4,TranformerCPI,,0.638287905,0.003134587,,,,,,0,0,0.505833333,,
erbb2,TranformerCPI,,0.717001748,0.261276926,,,,,,5.92,8.072727273,5.016949153,,
er-beta,TranformerCPI,,0.3475,8.61E-05,,,,,,0,0,0,,
fgfr1,TranformerCPI,,0.756562774,0.009616511,,,,,,0,0,0.508189655,,
fkbp1a,TranformerCPI,,0.272694887,6.13E-07,,,,,,0,0,0,,
fxa,TranformerCPI,,0.556087522,0.09743407,,,,,,5.97,2.713636364,1.011864407,,
gba,TranformerCPI,,0.620523013,0.202118239,,,,,,10.29166667,7.71875,2.530737705,,
gr,TranformerCPI,,0.760016906,0.512622856,,,,,,10.19166667,17.83541667,10.02459016,,
gsk3b,TranformerCPI,,0.560055746,0.056154791,,,,,,0,0,2.5125,,
hdac2,TranformerCPI,,0.46782368,0.01116465,,,,,,0,0,1.5175,,
hdac8,TranformerCPI,,0.479376047,0.014036161,,,,,,0,0,1.01147541,,
hiv1pr,TranformerCPI,,0.471522477,2.77E-07,,,,,,0,0,0,,
hiv1rt,TranformerCPI,,0.515606446,0.004401022,,,,,,0,0,0.507916667,,
hmgr,TranformerCPI,,0.522243108,0.052720988,,,,,,5.154166667,2.577083333,0.506967213,,
hsp90,TranformerCPI,,0.584625213,0.035103639,,,,,,0,0,1.5175,,
igf1r,TranformerCPI,,0.786464826,0.336079227,,,,,,5.815,10.57272727,6.015517241,,
inha,TranformerCPI,,0.191012658,1.66E-16,,,,,,0,0,0,,
itk,TranformerCPI,,0.56487691,8.31E-05,,,,,,0,0,0,,
